"","Country","CreationDate","CountTotalUsers","CountTotalUsersStack"
"1","Afghanistan","2012-06",1,1
"2","Afghanistan","2014-07",1,2
"3","Afghanistan","2016-06",1,3
"4","Afghanistan","2016-07",1,4
"5","Afghanistan","2018-01",1,5
"6","Afghanistan","2018-06",1,6
"7","Albania","2012-07",1,1
"8","Albania","2013-01",1,2
"9","Albania","2014-10",2,4
"10","Albania","2015-05",2,6
"11","Albania","2016-02",1,7
"12","Albania","2016-05",1,8
"13","Albania","2016-11",1,9
"14","Albania","2016-12",1,10
"15","Albania","2017-07",2,12
"16","Albania","2017-10",1,13
"17","Albania","2018-07",1,14
"18","Algeria","2012-03",1,1
"19","Algeria","2012-04",1,2
"20","Algeria","2013-11",1,3
"21","Algeria","2014-05",1,4
"22","Algeria","2014-06",1,5
"23","Algeria","2014-09",1,6
"24","Algeria","2014-12",1,7
"25","Algeria","2015-02",1,8
"26","Algeria","2015-04",1,9
"27","Algeria","2015-05",1,10
"28","Algeria","2015-07",1,11
"29","Algeria","2015-09",1,12
"30","Algeria","2016-02",1,13
"31","Algeria","2016-03",1,14
"32","Algeria","2016-05",1,15
"33","Algeria","2016-06",1,16
"34","Algeria","2017-04",1,17
"35","Algeria","2017-05",1,18
"36","Algeria","2017-07",1,19
"37","Algeria","2017-08",1,20
"38","Algeria","2018-02",1,21
"39","Algeria","2018-04",1,22
"40","Algeria","2018-09",1,23
"41","Algeria","2018-10",1,24
"42","Algeria","2018-11",1,25
"43","Algeria","2018-12",1,26
"44","American Samoa","2011-09",1,1
"45","Andorra","2015-03",1,1
"46","Andorra","2015-10",1,2
"47","Angola","2018-07",1,1
"48","Antarctica","2011-12",1,1
"49","Antarctica","2012-12",1,2
"50","Antarctica","2013-06",1,3
"51","Antarctica","2016-08",1,4
"52","Antarctica","2016-09",1,5
"53","Antarctica","2016-12",1,6
"54","Antarctica","2017-04",1,7
"55","Antarctica","2017-08",1,8
"56","Antarctica","2018-07",1,9
"57","Antarctica","2018-10",1,10
"58","Antigua and Barbuda","2012-06",1,1
"59","Antigua and Barbuda","2016-06",1,2
"60","Argentina","2010-08",2,2
"61","Argentina","2010-09",4,6
"62","Argentina","2010-12",2,8
"63","Argentina","2011-01",5,13
"64","Argentina","2011-02",2,15
"65","Argentina","2011-03",4,19
"66","Argentina","2011-04",1,20
"67","Argentina","2011-07",1,21
"68","Argentina","2011-08",1,22
"69","Argentina","2011-09",2,24
"70","Argentina","2011-10",2,26
"71","Argentina","2011-11",1,27
"72","Argentina","2011-12",1,28
"73","Argentina","2012-01",1,29
"74","Argentina","2012-03",5,34
"75","Argentina","2012-04",2,36
"76","Argentina","2012-05",1,37
"77","Argentina","2012-06",2,39
"78","Argentina","2012-07",1,40
"79","Argentina","2012-08",1,41
"80","Argentina","2012-09",2,43
"81","Argentina","2012-10",1,44
"82","Argentina","2012-11",1,45
"83","Argentina","2012-12",1,46
"84","Argentina","2013-01",3,49
"85","Argentina","2013-03",2,51
"86","Argentina","2013-04",2,53
"87","Argentina","2013-06",2,55
"88","Argentina","2013-07",3,58
"89","Argentina","2013-08",1,59
"90","Argentina","2013-09",3,62
"91","Argentina","2013-10",4,66
"92","Argentina","2013-11",5,71
"93","Argentina","2013-12",1,72
"94","Argentina","2014-02",3,75
"95","Argentina","2014-03",3,78
"96","Argentina","2014-04",2,80
"97","Argentina","2014-05",3,83
"98","Argentina","2014-06",1,84
"99","Argentina","2014-07",2,86
"100","Argentina","2014-08",6,92
"101","Argentina","2014-09",2,94
"102","Argentina","2014-10",3,97
"103","Argentina","2014-11",3,100
"104","Argentina","2014-12",4,104
"105","Argentina","2015-01",4,108
"106","Argentina","2015-02",4,112
"107","Argentina","2015-03",2,114
"108","Argentina","2015-05",6,120
"109","Argentina","2015-06",2,122
"110","Argentina","2015-07",6,128
"111","Argentina","2015-08",6,134
"112","Argentina","2015-09",7,141
"113","Argentina","2015-10",6,147
"114","Argentina","2015-11",7,154
"115","Argentina","2015-12",1,155
"116","Argentina","2016-01",2,157
"117","Argentina","2016-02",5,162
"118","Argentina","2016-03",6,168
"119","Argentina","2016-04",4,172
"120","Argentina","2016-05",4,176
"121","Argentina","2016-06",5,181
"122","Argentina","2016-07",4,185
"123","Argentina","2016-08",5,190
"124","Argentina","2016-09",4,194
"125","Argentina","2016-10",5,199
