"place","country"
"1","Russia"
"2","China"
"3","United States"
"4","Azerbaijan"
"5","Ukraine"
"6","India"
"7","France"
"8","Armenia"
"9","Hungary"
"10","Netherlands"
"11","Poland"
"12","United Kingdom"
"13","Israel"
"14","Germany"
"15","Spain"
"16","Czech Republic"
"17","Georgia"
"18","Croatia"
"19","Norway"
"20","Serbia"
"21","Romania"
"22","Cuba"
"23","Belarus"
"24","Greece"
"25","Iran"
"26","Turkey"
"27","Sweden"
"28","Argentina"
"29","Brazil"
"30","Bulgaria"
"31","Peru"
"32","Denmark"
"33","Canada"
"34","Italy"
"35","Slovenia"
"36","Uzbekistan"
"37","Switzerland"
"38","Latvia"
"39","Vietnam"
"40","Austria"
